No.,屬性,類型,基因名稱,基因等級,等級,主/被,技能名稱,技能細節,目標,羈絆值消耗,基礎值【強化2】,技能特效【強化2】,固有,一般,稀有
415,無,無,加護基因【小】,S,1,被動,精靈加護【小】,"有機率使承受的傷害減輕。【發動率】略低機率發動。
【強化0】特低機率發動。
【強化1】低機率發動。
【強化2】略低機率發動。",,,,精靈加護[14],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍
416,無,無,加護基因【中】,M,1,被動,精靈加護【中】,"有機率使承受的傷害減輕。【發動率】略高機率發動。
【強化0】略低機率發動。
【強化1】中機率發動。
【強化2】略高機率發動。",,,,精靈加護[16],,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
417,無,無,加護基因【大】,L,1,被動,精靈加護【大】,"有機率使承受的傷害減輕。【發動率】特高機率發動。
【強化0】略高機率發動。
【強化1】高機率發動。
【強化2】特高機率發動。",,,,精靈加護[18],,,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
418,無,無,加護基因【特大】,XL,1,被動,精靈加護【特】,"有機率使承受的傷害減輕。【發動率】極高機率發動。
【強化0】特高機率發動。
【強化1】超高機率發動。
【強化2】極高機率發動。",,,,精靈加護[20],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
419,冰,無,巢守基因【小】,S,1,被動,守巢【小】,"討伐成功後，魔物的歸巢率少量提升。
【強化0】討伐成功後，魔物的歸巢率極小提升。
【強化1】討伐成功後，魔物的歸巢率微量提升。
【強化2】討伐成功後，魔物的歸巢率少量提升。",,,,守巢[10],,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,
420,冰,無,巢守基因【中】,M,1,被動,守巢【中】,"討伐成功後，魔物的歸巢率中量提升。
【強化0】討伐成功後，魔物的歸巢率少量提升。
【強化1】討伐成功後，魔物的歸巢率小量提升。
【強化2】討伐成功後，魔物的歸巢率中量提升。",,,,守巢[13],,,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
421,冰,無,巢守基因【大】,L,1,被動,守巢【大】,"討伐成功後，魔物的歸巢率特大提升。
【強化0】討伐成功後，魔物的歸巢率中量提升。
【強化1】討伐成功後，魔物的歸巢率大量提升。
【強化2】討伐成功後，魔物的歸巢率特大提升。",,,,守巢[15],,,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
422,冰,無,巢守基因【特大】,XL,1,被動,守巢【特】,"討伐成功後，魔物的歸巢率極大提升。
【強化0】討伐成功後，魔物的歸巢率特大提升。
【強化1】討伐成功後，魔物的歸巢率超大提升。
【強化2】討伐成功後，魔物的歸巢率極大提升。",,,,守巢[20],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
423,無,力量,筋力基因【小】,S,1,被動,無屬性攻擊強化【小】,"無屬性攻擊力少量提升。
【強化0】無屬性攻擊力極小提升。
【強化1】無屬性攻擊力微量提升。
【強化2】無屬性攻擊力少量提升。",,,,無屬性攻擊強化[15],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍
424,無,力量,筋力基因【中】,M,1,被動,無屬性攻擊強化【中】,"無屬性攻擊力中量提升。
【強化0】無屬性攻擊力少量提升。
【強化1】無屬性攻擊力小量提升。
【強化2】無屬性攻擊力中量提升。",,,,無屬性攻擊強化[20],,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
425,無,力量,筋力基因【大】,L,1,被動,無屬性攻擊強化【大】,"無屬性攻擊力特大提升。
【強化0】無屬性攻擊力中量提升。
【強化1】無屬性攻擊力大量提升。
【強化2】無屬性攻擊力特大提升。",,,,無屬性攻擊強化[30],加爾克(無),,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
426,無,力量,筋力基因【特大】,XL,1,被動,無屬性攻擊強化【特】,"無屬性攻擊力極大提升。
【強化0】無屬性攻擊力特大提升。
【強化1】無屬性攻擊力超大提升。
【強化2】無屬性攻擊力極大提升。",,,,無屬性攻擊強化[40],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
427,火,力量,火強化基因【小】,S,1,被動,火屬性攻擊強化【小】,"火屬性攻擊力少量提升。
【強化0】火屬性攻擊力極小提升。
【強化1】火屬性攻擊力微量提升。
【強化2】火屬性攻擊力少量提升。",,,,火屬性攻擊強化[15],,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐
428,火,力量,火強化基因【中】,M,1,被動,火屬性攻擊強化【中】,"火屬性攻擊力中量提升。
【強化0】火屬性攻擊力少量提升。
【強化1】火屬性攻擊力小量提升。
【強化2】火屬性攻擊力中量提升。",,,,火屬性攻擊強化[20],,爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
429,火,力量,火強化基因【大】,L,1,被動,火屬性攻擊強化【大】,"火屬性攻擊力特大提升。
【強化0】火屬性攻擊力中量提升。
【強化1】火屬性攻擊力大量提升。
【強化2】火屬性攻擊力特大提升。",,,,火屬性攻擊強化[30],加爾克(火),,爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
430,火,力量,火強化基因【特大】,XL,1,被動,火屬性攻擊強化【特】,"火屬性攻擊力極大提升。
【強化0】火屬性攻擊力特大提升。
【強化1】火屬性攻擊力超大提升。
【強化2】火屬性攻擊力極大提升。",,,,火屬性攻擊強化[40],,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
431,水,力量,水強化基因【小】,S,1,被動,水屬性攻擊強化【小】,"水屬性攻擊力少量提升。
【強化0】水屬性攻擊力極小提升。
【強化1】水屬性攻擊力微量提升。
【強化2】水屬性攻擊力少量提升。",,,,水屬性攻擊強化[15],,水獸、奇猿狐、土砂龍,水獸、奇猿狐、土砂龍
432,水,力量,水強化基因【中】,M,1,被動,水屬性攻擊強化【中】,"水屬性攻擊力中量提升。
【強化0】水屬性攻擊力少量提升。
【強化1】水屬性攻擊力小量提升。
【強化2】水屬性攻擊力中量提升。",,,,水屬性攻擊強化[20],,泡狐龍、砂龍王、紫水獸,水獸、奇猿狐、土砂龍、泡狐龍、砂龍王、紫水獸
433,水,力量,水強化基因【大】,L,1,被動,水屬性攻擊強化【大】,"水屬性攻擊力特大提升。
【強化0】水屬性攻擊力中量提升。
【強化1】水屬性攻擊力大量提升。
【強化2】水屬性攻擊力特大提升。",,,,水屬性攻擊強化[30],加爾克(水),,泡狐龍、砂龍王、紫水獸
434,水,力量,水強化基因【特大】,XL,1,被動,水屬性攻擊強化【特】,"水屬性攻擊力極大提升。
【強化0】水屬性攻擊力特大提升。
【強化1】水屬性攻擊力超大提升。
【強化2】水屬性攻擊力極大提升。",,,,水屬性攻擊強化[40],,水獸、奇猿狐、土砂龍、泡狐龍、砂龍王、紫水獸,水獸、奇猿狐、土砂龍、泡狐龍、砂龍王、紫水獸
435,雷,力量,雷強化基因【小】,S,1,被動,雷屬性攻擊強化【小】,"雷屬性攻擊力少量提升。
【強化0】雷屬性攻擊力極小提升。
【強化1】雷屬性攻擊力微量提升。
【強化2】雷屬性攻擊力少量提升。",,,,雷屬性攻擊強化[15],,毒怪鳥、飛雷龍、奇怪龍、紅怪龍,毒怪鳥、飛雷龍、奇怪龍、紅怪龍
436,雷,力量,雷強化基因【中】,M,1,被動,雷屬性攻擊強化【中】,"雷屬性攻擊力中量提升。
【強化0】雷屬性攻擊力少量提升。
【強化1】雷屬性攻擊力小量提升。
【強化2】雷屬性攻擊力中量提升。",,,,雷屬性攻擊強化[20],,紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍
437,雷,力量,雷強化基因【大】,L,1,被動,雷屬性攻擊強化【大】,"雷屬性攻擊力特大提升。
【強化0】雷屬性攻擊力中量提升。
【強化1】雷屬性攻擊力大量提升。
【強化2】雷屬性攻擊力特大提升。",,,,雷屬性攻擊強化[30],加爾克(雷),,紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍
438,雷,力量,雷強化基因【特大】,XL,1,被動,雷屬性攻擊強化【特】,"雷屬性攻擊力極大提升。
【強化0】雷屬性攻擊力特大提升。
【強化1】雷屬性攻擊力超大提升。
【強化2】雷屬性攻擊力極大提升。",,,,雷屬性攻擊強化[40],,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍
439,冰,力量,冰強化基因【小】,S,1,被動,冰屬性攻擊強化【小】,"冰屬性攻擊力少量提升。
【強化0】冰屬性攻擊力極小提升。
【強化1】冰屬性攻擊力微量提升。
【強化2】冰屬性攻擊力少量提升。",,,,冰屬性攻擊強化[15],,白兔獸、冰鮫鯊、波波、冰土砂龍,白兔獸、冰鮫鯊、波波、冰土砂龍
440,冰,力量,冰強化基因【中】,M,1,被動,冰屬性攻擊強化【中】,"冰屬性攻擊力中量提升。
【強化0】冰屬性攻擊力少量提升。
【強化1】冰屬性攻擊力小量提升。
【強化2】冰屬性攻擊力中量提升。",,,,冰屬性攻擊強化[20],,冰牙龍、風漂龍、巨獸、銀嶺巨獸,白兔獸、冰鮫鯊、冰牙龍、波波、冰土砂龍、風漂龍、巨獸、銀嶺巨獸
441,冰,力量,冰強化基因【大】,L,1,被動,冰屬性攻擊強化【大】,"冰屬性攻擊力特大提升。
【強化0】冰屬性攻擊力中量提升。
【強化1】冰屬性攻擊力大量提升。
【強化2】冰屬性攻擊力特大提升。",,,,冰屬性攻擊強化[30],加爾克(冰),,冰牙龍、風漂龍、巨獸、銀嶺巨獸
442,冰,力量,冰強化基因【特大】,XL,1,被動,冰屬性攻擊強化【特】,"冰屬性攻擊力極大提升。
【強化0】冰屬性攻擊力特大提升。
【強化1】冰屬性攻擊力超大提升。
【強化2】冰屬性攻擊力極大提升。",,,,冰屬性攻擊強化[40],,白兔獸、冰鮫鯊、冰牙龍、波波、冰土砂龍、風漂龍、巨獸、銀嶺巨獸,白兔獸、冰鮫鯊、冰牙龍、波波、冰土砂龍、風漂龍、巨獸、銀嶺巨獸
443,龍,力量,龍強化基因【小】,S,1,被動,龍屬性攻擊強化【小】,"龍屬性攻擊力少量提升。
【強化0】龍屬性攻擊力極小提升。
【強化1】龍屬性攻擊力微量提升。
【強化2】龍屬性攻擊力少量提升。",,,,龍屬性攻擊強化[15],,草食龍、雌火龍、眠狗龍王,草食龍、雌火龍、眠狗龍王
444,龍,力量,龍強化基因【中】,M,1,被動,龍屬性攻擊強化【中】,"龍屬性攻擊力中量提升。
【強化0】龍屬性攻擊力少量提升。
【強化1】龍屬性攻擊力小量提升。
【強化2】龍屬性攻擊力中量提升。",,,,龍屬性攻擊強化[20],,獄狼龍、恐暴龍,草食龍、雌火龍、眠狗龍王、獄狼龍、恐暴龍
445,龍,力量,龍強化基因【大】,L,1,被動,龍屬性攻擊強化【大】,"龍屬性攻擊力特大提升。
【強化0】龍屬性攻擊力中量提升。
【強化1】龍屬性攻擊力大量提升。
【強化2】龍屬性攻擊力特大提升。",,,,龍屬性攻擊強化[30],加爾克(龍),,獄狼龍、恐暴龍
446,龍,力量,龍強化基因【特大】,XL,1,被動,龍屬性攻擊強化【特】,"龍屬性攻擊力極大提升。
【強化0】龍屬性攻擊力特大提升。
【強化1】龍屬性攻擊力超大提升。
【強化2】龍屬性攻擊力極大提升。",,,,龍屬性攻擊強化[40],,草食龍、雌火龍、眠狗龍王、獄狼龍、恐暴龍,草食龍、雌火龍、眠狗龍王、獄狼龍、恐暴龍
447,無,技巧,鐵壁基因【小】,S,1,被動,無屬性防禦強化【小】,"無屬性防禦力少量提升。
【強化0】無屬性防禦力極小提升。
【強化1】無屬性防禦力微量提升。
【強化2】無屬性防禦力少量提升。",,,,無屬性防禦強化[25],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍
448,無,技巧,鐵壁基因【中】,M,1,被動,無屬性防禦強化【中】,"無屬性防禦力中量提升。
【強化0】無屬性防禦力少量提升。
【強化1】無屬性防禦力小量提升。
【強化2】無屬性防禦力中量提升。",,,,無屬性防禦強化[30],,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
449,無,技巧,鐵壁基因【大】,L,1,被動,無屬性防禦強化【大】,"無屬性防禦力特大提升。
【強化0】無屬性防禦力中量提升。
【強化1】無屬性防禦力大量提升。
【強化2】無屬性防禦力特大提升。",,,,無屬性防禦強化[40],,,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
450,無,技巧,鐵壁基因【特大】,XL,1,被動,無屬性防禦強化【特】,"無屬性防禦力極大提升。
【強化0】無屬性防禦力特大提升。
【強化1】無屬性防禦力超大提升。
【強化2】無屬性防禦力極大提升。",,,,無屬性防禦強化[50],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
451,火,技巧,火耐性基因【小】,S,1,被動,火屬性防禦強化【小】,"火屬性防禦力少量提升。
【強化0】火屬性防禦力極小提升。
【強化1】火屬性防禦力微量提升。
【強化2】火屬性防禦力少量提升。",,,,火屬性防禦強化[25],,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐
452,火,技巧,火耐性基因【中】,M,1,被動,火屬性防禦強化【中】,"火屬性防禦力中量提升。
【強化0】火屬性防禦力少量提升。
【強化1】火屬性防禦力小量提升。
【強化2】火屬性防禦力中量提升。",,,,火屬性防禦強化[30],,爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
453,火,技巧,火耐性基因【大】,L,1,被動,火屬性防禦強化【大】,"火屬性防禦力特大提升。
【強化0】火屬性防禦力中量提升。
【強化1】火屬性防禦力大量提升。
【強化2】火屬性防禦力特大提升。",,,,火屬性防禦強化[40],,,爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
454,火,技巧,火耐性基因【特大】,XL,1,被動,火屬性防禦強化【特】,"火屬性防禦力極大提升。
【強化0】火屬性防禦力特大提升。
【強化1】火屬性防禦力超大提升。
【強化2】火屬性防禦力極大提升。",,,,火屬性防禦強化[50],,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍,怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆鎚龍、鎧龍、桃岩龍、黑鎧龍、斬龍、爆鱗龍、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
455,水,技巧,水耐性基因【小】,S,1,被動,水屬性防禦強化【小】,"水屬性防禦力少量提升。
【強化0】水屬性防禦力極小提升。
【強化1】水屬性防禦力微量提升。
【強化2】水屬性防禦力少量提升。",,,,水屬性防禦強化[25],,水獸、奇猿狐、土砂龍,水獸、奇猿狐、土砂龍
456,水,技巧,水耐性基因【中】,M,1,被動,水屬性防禦強化【中】,"水屬性防禦力中量提升。
【強化0】水屬性防禦力少量提升。
【強化1】水屬性防禦力小量提升。
【強化2】水屬性防禦力中量提升。",,,,水屬性防禦強化[30],,泡狐龍、砂龍王、紫水獸,水獸、奇猿狐、土砂龍、泡狐龍、砂龍王、紫水獸
457,水,技巧,水耐性基因【大】,L,1,被動,水屬性防禦強化【大】,"水屬性防禦力特大提升。
【強化0】水屬性防禦力中量提升。
【強化1】水屬性防禦力大量提升。
【強化2】水屬性防禦力特大提升。",,,,水屬性防禦強化[40],,,泡狐龍、砂龍王、紫水獸
458,水,技巧,水耐性基因【特大】,XL,1,被動,水屬性防禦強化【特】,"水屬性防禦力極大提升。
【強化0】水屬性防禦力特大提升。
【強化1】水屬性防禦力超大提升。
【強化2】水屬性防禦力極大提升。",,,,水屬性防禦強化[50],,水獸、奇猿狐、土砂龍、泡狐龍、砂龍王、紫水獸,水獸、奇猿狐、土砂龍、泡狐龍、砂龍王、紫水獸
459,雷,技巧,雷耐性基因【小】,S,1,被動,雷屬性防禦強化【小】,"雷屬性防禦力少量提升。
【強化0】雷屬性防禦力極小提升。
【強化1】雷屬性防禦力微量提升。
【強化2】雷屬性防禦力少量提升。",,,,雷屬性防禦強化[25],,毒怪鳥、飛雷龍、奇怪龍、紅怪龍,毒怪鳥、飛雷龍、奇怪龍、紅怪龍
460,雷,技巧,雷耐性基因【中】,M,1,被動,雷屬性防禦強化【中】,"雷屬性防禦力中量提升。
【強化0】雷屬性防禦力少量提升。
【強化1】雷屬性防禦力小量提升。
【強化2】雷屬性防禦力中量提升。",,,,雷屬性防禦強化[30],,紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍
461,雷,技巧,雷耐性基因【大】,L,1,被動,雷屬性防禦強化【大】,"雷屬性防禦力特大提升。
【強化0】雷屬性防禦力中量提升。
【強化1】雷屬性防禦力大量提升。
【強化2】雷屬性防禦力特大提升。",,,,雷屬性防禦強化[40],,,紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍
462,雷,技巧,雷耐性基因【特大】,XL,1,被動,雷屬性防禦強化【特】,"雷屬性防禦力極大提升。
【強化0】雷屬性防禦力特大提升。
【強化1】雷屬性防禦力超大提升。
【強化2】雷屬性防禦力極大提升。",,,,雷屬性防禦強化[50],,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、紅彩鳥、海龍、雷狼龍、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍
463,冰,技巧,冰耐性基因【小】,S,1,被動,冰屬性防禦強化【小】,"冰屬性防禦力少量提升。
【強化0】冰屬性防禦力極小提升。
【強化1】冰屬性防禦力微量提升。
【強化2】冰屬性防禦力少量提升。",,,,冰屬性防禦強化[25],,白兔獸、冰鮫鯊、波波、冰土砂龍,白兔獸、冰鮫鯊、波波、冰土砂龍
464,冰,技巧,冰耐性基因【中】,M,1,被動,冰屬性防禦強化【中】,"冰屬性防禦力中量提升。
【強化0】冰屬性防禦力少量提升。
【強化1】冰屬性防禦力小量提升。
【強化2】冰屬性防禦力中量提升。",,,,冰屬性防禦強化[30],,冰牙龍、風漂龍、巨獸、銀嶺巨獸,白兔獸、冰鮫鯊、冰牙龍、波波、冰土砂龍、風漂龍、巨獸、銀嶺巨獸
465,冰,技巧,冰耐性基因【大】,L,1,被動,冰屬性防禦強化【大】,"冰屬性防禦力特大提升。
【強化0】冰屬性防禦力中量提升。
【強化1】冰屬性防禦力大量提升。
【強化2】冰屬性防禦力特大提升。",,,,冰屬性防禦強化[40],,,冰牙龍、風漂龍、巨獸、銀嶺巨獸
466,冰,技巧,冰耐性基因【特大】,XL,1,被動,冰屬性防禦強化【特】,"冰屬性防禦力極大提升。
【強化0】冰屬性防禦力特大提升。
【強化1】冰屬性防禦力超大提升。
【強化2】冰屬性防禦力極大提升。",,,,冰屬性防禦強化[50],,白兔獸、冰鮫鯊、冰牙龍、波波、冰土砂龍、風漂龍、巨獸、銀嶺巨獸,白兔獸、冰鮫鯊、冰牙龍、波波、冰土砂龍、風漂龍、巨獸、銀嶺巨獸
467,龍,技巧,龍耐性基因【小】,S,1,被動,龍屬性防禦強化【小】,"龍屬性防禦力少量提升。
【強化0】龍屬性防禦力極小提升。
【強化1】龍屬性防禦力微量提升。
【強化2】龍屬性防禦力少量提升。",,,,龍屬性防禦強化[25],,草食龍、雌火龍、眠狗龍王,草食龍、雌火龍、眠狗龍王
468,龍,技巧,龍耐性基因【中】,M,1,被動,龍屬性防禦強化【中】,"龍屬性防禦力中量提升。
【強化0】龍屬性防禦力少量提升。
【強化1】龍屬性防禦力小量提升。
【強化2】龍屬性防禦力中量提升。",,,,龍屬性防禦強化[30],,獄狼龍、恐暴龍,草食龍、雌火龍、眠狗龍王、獄狼龍、恐暴龍
469,龍,技巧,龍耐性基因【大】,L,1,被動,龍屬性防禦強化【大】,"龍屬性防禦力特大提升。
【強化0】龍屬性防禦力中量提升。
【強化1】龍屬性防禦力大量提升。
【強化2】龍屬性防禦力特大提升。",,,,龍屬性防禦強化[40],,,獄狼龍、恐暴龍
470,龍,技巧,龍耐性基因【特大】,XL,1,被動,龍屬性防禦強化【特】,"龍屬性防禦力極大提升。
【強化0】龍屬性防禦力特大提升。
【強化1】龍屬性防禦力超大提升。
【強化2】龍屬性防禦力極大提升。",,,,龍屬性防禦強化[50],,草食龍、雌火龍、眠狗龍王、獄狼龍、恐暴龍,草食龍、雌火龍、眠狗龍王、獄狼龍、恐暴龍
471,無,技巧,全屬性耐性基因【小】,S,1,被動,全屬性防禦強化【小】,"全屬性防禦力少量提升。
【強化0】全屬性防禦力極小提升。
【強化1】全屬性防禦力微量提升。
【強化2】全屬性防禦力少量提升。",,,,全屬性防禦強化[10],,,獄狼龍、恐暴龍
472,無,技巧,全屬性耐性基因【中】,M,1,被動,全屬性防禦強化【中】,"全屬性防禦力中量提升。
【強化0】全屬性防禦力少量提升。
【強化1】全屬性防禦力小量提升。
【強化2】全屬性防禦力中量提升。",,,,全屬性防禦強化[15],,滅盡龍、冰呪龍、鋼龍、麒麟、炎王龍,獄狼龍、滅盡龍、冰呪龍、恐暴龍、鋼龍、麒麟、炎王龍
473,無,技巧,全屬性耐性基因【大】,L,1,被動,全屬性防禦強化【大】,"全屬性防禦力特大提升。
【強化0】全屬性防禦力中量提升。
【強化1】全屬性防禦力大量提升。
【強化2】全屬性防禦力特大提升。",,,,全屬性防禦強化[20],,滅盡龍、冰呪龍、鋼龍、麒麟、炎王龍,滅盡龍、冰呪龍、鋼龍、麒麟、炎王龍
